ID,分類,テスト内容,操作手順,期待結果,結果(PASS/FAIL),重要度,メモ
QA-001,起動,公開版起動,公開URLを開く,v1.1 RC6が表示され初期設定が正常に開く,,必須,
QA-002,新規,新しいスペース作成,新規作成→寸法設定→設置不可エリア→Start配置,各工程を順に完了できる,,必須,
QA-003,新規,保存済みスペース再利用,保存済みスペースを選択して開始,スペース条件だけ再利用されコースは新規になる,,高,
QA-004,スタート,Start配置,ゴーストを移動しクリック,指定位置にStartが配置される,,必須,
QA-005,スタート,Start回転,Z/X/ホイールで回転,45度刻みで回転する,,必須,
QA-006,スタート,Start再配置,既存Startを移動して未使用接続口へ近づける,対象接続口へ正しく吸着できる,,必須,
QA-007,配置,通常パーツ配置,各パーツを選択して接続口へ配置,最寄りの有効接続口へ配置される,,必須,
QA-008,配置,45度コーナー閉合,同方向に45度コーナーを8枚配置,円として閉じ継ぎ目が連続する,,必須,
QA-009,配置,スロープ・バンク,立体パーツを入口から出口まで配置,高さ・バンク状態が正しく継承される,,必須,
QA-010,移動,単体移動,Qで1個選択して移動,移動後も接続・描画が正しい,,必須,
QA-011,移動,複数移動,Qで範囲選択して移動,グループ形状を維持して移動する,,高,
QA-012,選択,範囲選択,Q/W/Eで空白からドラッグ,対象候補がモード色で事前表示され確定後に一致する,,高,
QA-013,削除,ゴミ箱削除,パーツを上部ゴミ箱へドラッグ,対象だけ削除されUndo1回で復元する,,必須,
QA-014,削除,削除モード,Wで単体・複数を削除,対象だけ削除される,,必須,
QA-015,色,カラー変更,Eで単体・複数の色を変更,指定色へ変更され発表画面にも反映される,,高,
QA-016,履歴,Undo/Redo,複数操作後に元に戻す・やり直す,履歴順に状態が復元する,,必須,
QA-017,巻戻し,1パーツ戻る,複数配置後に1パーツ戻る,最後の配置から順に戻る,,高,
QA-018,設置範囲,範囲編集,初期設定を編集して寸法を変更,コース座標を壊さず範囲が更新される,,必須,
QA-019,設置不可,設置不可エリア作成,マウス指定と寸法指定を各1回行う,両方式で作成・移動・回転できる,,高,
QA-020,設置不可,ロック,エリアをロックして移動・削除を試す,ロック中は変更できない,,高,
QA-021,表示,コース全体表示,表示・配置→コース全体を表示,全パーツが見える倍率・位置になる,,中,
QA-022,表示,全体移動,表示・配置→コース全体を移動,全パーツとStartが同量移動する,,高,
QA-023,表示,左上整列,表示・配置→コースを左上へ整列,レイアウト全体が作成範囲左上側へ整列する,,中,
QA-024,保存,レイアウト保存・読込,保存→新規→読込,位置・回転・色・スペース条件が復元する,,必須,
QA-025,再読込,ブラウザー再読込,編集途中でページを再読込,自動保存状態から復旧する,,必須,
QA-026,発表,発表・出力を開く,発表・出力ボタンを押す,編集状態を変えず発表画面へ移る,,必須,
QA-027,発表,大会名2行,大会名1・2行目を入力,2行とも正しく表示される,,高,
QA-028,発表,レイアウター任意,空欄と入力済みを比較,空欄時は非表示・入力時だけ表示される,,高,
QA-029,発表,コース主体表示,複数パーツのレイアウトを表示,実配置パーツ外接範囲へ大きく自動フィットする,,必須,
QA-030,発表,背景Grid,Gridを選択,白背景に実寸1mグリッドが表示される,,必須,
QA-031,発表,背景White,Whiteを選択,白背景でグリッドなしになる,,高,
QA-032,発表,背景Transparent,Transparentを選択,グリッドなしで透過出力できる,,必須,
QA-033,発表,PNG保存,PNG画像を保存,大会名・コース・全延長・部品集計を含む画像が保存される,,必須,
QA-034,発表,コース図のみ保存,コース図のみ保存を実行,従来のコース単体PNGが保存される,,高,
QA-035,印刷,A4横,A4横で印刷,1ページ内に約10mm余白で収まる,,必須,
QA-036,印刷,A4縦,A4縦で印刷,1ページ内に約10mm余白で収まる,,高,
QA-037,発表,編集へ戻る,発表画面から編集へ戻る,選択・ズーム・履歴・配置状態が維持される,,必須,
QA-038,UI,ボタン整理,トップと編集ツールバーを確認,名称が日本語で用途別に整理され重複PNGボタンがない,,中,
QA-039,スマホ,390×844表示,スマホ相当幅で発表画面を操作,横スクロール破綻なく主要操作が可能,,高,
QA-040,安定性,連続操作,配置・移動・削除・Undo・発表を10分継続,操作不能・表示崩れ・コンソールエラーがない,,必須,
